EmployeeId,STOCKNO,Vehicle,StationName,WorkingTime
157,28647,2021 Chrysler Pacifica,Service,30
142,28681,2020 Toyota Sienna,Service,30
142,29033,2023 Chevrolet Traverse,Service,30
135,28554,2019 Toyota Sienna,Service,31
142,28744,2023 Chevrolet Traverse,Service,32
135,28550,2021 Buick Enclave,Service,33
157,28656,2022 Kia Telluride,Service,33
157,28691,2020 Toyota Sienna,Service,33
135,28741,2021 Chrysler Voyager,Service,33
135,28961,2022 Chrysler Pacifica,Service,33
142,29199,2017 Chrysler Pacifica,Service,33
157,28706,2020 Toyota Sienna,Service,34
135,28729,2022 Chevrolet Traverse,Service,34
142,28913,2022 Chevrolet Traverse,Service,34
142,27295,2020 Kia Soul,Service,35
135,27457,2019 Chevrolet Traverse,Service,35
142,29254,2021 Toyota Sienna,Service,35
157,28628,2020 Toyota Sienna,Service,36
142,28687,2020 Toyota Sienna,Service,36
142,29143,2022 Kia Sorento,Service,36
142,29252,2022 Chevrolet Traverse,Service,36
142,28735,2019 Toyota Sienna,Service,37
135,28799,2022 Chevrolet Traverse,Service,37
157,29252,2022 Chevrolet Traverse,Service,37
142,29000,2023 Chevrolet Traverse,Service,38
142,29213,2022 Chrysler Pacifica,Service,38
135,28577,2021 Kia Soul,Service,39
142,28650,2017 Toyota Sienna,Alignment,20
135,28975,2020 Toyota Sienna,Service,39
142,29205,2022 Chrysler Pacifica,Service,39
135,28683,2021 Chrysler Voyager,Service,41
142,28728,2022 Chevrolet Traverse,Service,41
135,28926,2020 Toyota Sienna,Service,41
142,28656,2022 Kia Telluride,Service,42
163,28650,2017 Toyota Sienna,Alignment,20
157,28710,2020 Chrysler Voyager,Service,43
163,29130,2021 Chevrolet Silverado 1500,Alignment,20
163,28942,2021 Chrysler Voyager,Service,43
142,28577,2021 Kia Soul,Service,44
157,28664,2020 Toyota Sienna,Service,44
142,28544,2020 Kia Soul,Alignment,21
142,28700,2022 Chevrolet Traverse,Service,44
157,28643,2020 Toyota Sienna,Service,45
157,28687,2020 Toyota Sienna,Service,45
142,28591,2021 Kia Soul,Service,46
163,28544,2020 Kia Soul,Alignment,21
157,28653,2021 Chevrolet Traverse,Service,46
135,28660,2021 Toyota Sienna,Alignment,21
142,28742,2022 Toyota Sienna,Service,46
142,28757,2022 Toyota Sienna,Service,46
142,28706,2020 Toyota Sienna,Alignment,21
135,28680,2019 Chrysler Pacifica,Alignment,24
142,29110,2022 Toyota Sienna,Service,46
157,28688,2021 Kia Soul,Service,47
163,29007,2023 Chevrolet Traverse,Alignment,24
163,29182,2023 Chevrolet Traverse,Alignment,24
142,28651,2022 Chevrolet Traverse,Service,48
157,28763,2022 Chevrolet Traverse,Service,48
163,29269,2020 Toyota Sienna,Alignment,24
157,29335,2022 Hyundai Palisade,Service,48
142,28640,2019 Toyota Sienna,Alignment,25
162,28341,2020 Kia Sorento,Shipping Lane,1
162,28492,2022 Hyundai Palisade,Shipping Lane,1
162,28560,2015 Toyota Sienna,Shipping Lane,1
141,28609,2022 Buick Enclave,Shipping Lane,1
157,28659,2020 Toyota Sienna,Service,49
162,28634,2022 Kia Soul,Shipping Lane,1
163,28732,2020 Toyota Sienna,Alignment,25
162,28654,2020 Toyota Sienna,Shipping Lane,1
142,29077,2023 Chevrolet Traverse,Service,49
142,28449,2022 Chevrolet Traverse,Service,51
118,28678,2021 Kia Sorento,Shipping Lane,1
142,28670,2021 Hyundai Palisade,Service,51
142,28751,2021 Chrysler Voyager,Service,51
162,28684,2021 Chrysler Voyager,Shipping Lane,1
118,28480,2021 Hyundai Palisade,Shipping Lane,2
133,28621,2020 Toyota Sienna,Shipping Lane,2
141,28667,2020 Chrysler Pacifica,Shipping Lane,2
135,28574,2021 Buick Enclave,Service,53
118,28764,2016 Toyota Sienna,Shipping Lane,2
162,29019,2020 Chrysler Pacifica,Shipping Lane,2
163,29181,2023 Chevrolet Traverse,Alignment,25
118,29134,2023 Chevrolet Traverse,Shipping Lane,2
141,27679,2017 Chrysler Pacifica,Shipping Lane,3
141,28560,2015 Toyota Sienna,Shipping Lane,3
118,28570,2020 Kia Soul,Shipping Lane,3
163,29195,2023 Kia Soul,Alignment,25
163,28640,2019 Toyota Sienna,Alignment,26
118,28732,2020 Toyota Sienna,Shipping Lane,3
135,28578,2010 Honda Element,Service,53
118,29135,2023 Kia Telluride,Shipping Lane,3
157,28695,2020 Toyota Sienna,Service,53
118,29170,2023 Toyota Sienna,Shipping Lane,3
142,28802,2021 Chrysler Voyager,Alignment,26
118,28746,2022 Chevrolet Traverse,Shipping Lane,4
118,28891,2022 Chrysler Pacifica,Shipping Lane,4
163,28994,2022 Chrysler Voyager,Alignment,26
118,28955,2020 Chevrolet Traverse,Shipping Lane,4
118,28978,2018 Kia Soul,Shipping Lane,4
118,29011,2019 Toyota Sienna,Shipping Lane,4
163,28802,2021 Chrysler Voyager,Alignment,27
118,29160,2022 Chevrolet Traverse,Shipping Lane,4
118,29199,2017 Chrysler Pacifica,Shipping Lane,4
135,28711,2020 Chrysler Pacifica,Alignment,28
118,28513,2020 Chrysler Pacifica,Shipping Lane,5
142,28767,2020 Kia Soul,Service,53
118,28571,2020 Kia Soul,Shipping Lane,5
118,28636,2014 Dodge Grand Caravan,Shipping Lane,5
142,29149,2021 Chrysler Pacifica,Service,53
141,28645,2020 Chrysler Pacifica,Shipping Lane,5
118,28677,2022 Chevrolet Traverse,Shipping Lane,5
